log_id,timestamp,item_code,batch_id,previous_status,new_status,changed_by,reason,approved_by
LOG-0030,2026-04-01 07:26:00,SP-9797,B-54-004,Reject,On Hold,Sinta QA,Record passed primary checks and no high-risk anomaly was detected.,Sinta QA
LOG-0056,2026-04-01 08:31:00,RM-3615,B-09-001,Need Review,Need Review,Maya Supervisor,The item appears in a location that is not aligned with its category or current status.,Maya Supervisor
LOG-0099,2026-04-01 08:54:00,SP-9797,B-06-001,On Hold,Need Review,Maya Supervisor,Record passed primary checks and no high-risk anomaly was detected.,Budi Supervisor
LOG-0213,2026-04-01 09:42:00,RM-1842,B-01-001,Ready,On Hold,Sinta QA,Manual status conflicts with the quality note. The item should not remain Ready while inspection is still pending.,Budi Supervisor
LOG-0214,2026-04-01 09:47:00,PK-0291,B-02-001,Ready,Need Review,System AI,This record is likely a duplicate of a recent inbound update and should be reviewed before approval.,
LOG-0215,2026-04-01 09:58:00,FG-7811,B-03-001,Unreleased,On Hold,Sinta QA,The item appears in a location that is not aligned with its category or current status.,Maya Supervisor
LOG-0190,2026-04-01 11:22:00,FG-2040,B-24-005,Reject,Reject,Budi Supervisor,Record passed primary checks and no high-risk anomaly was detected.,Budi Supervisor
LOG-0010,2026-04-01 12:42:00,PK-3664,B-08-001,Need Review,Need Review,Sinta QA,The item appears in a location that is not aligned with its category or current status.,Maya Supervisor
LOG-0085,2026-04-01 13:56:00,SP-8433,B-17-002,Ready,Need Review,Sinta QA,The record is incomplete and cannot be safely approved without filling the missing fields.,Sinta QA
LOG-0133,2026-04-01 16:59:00,RM-4611,B-57-001,Need Review,Need Review,Sinta QA,This record is likely a duplicate of a recent inbound update and should be reviewed before approval.,
LOG-0063,2026-04-01 17:27:00,RM-2584,B-09-002,Ready,On Hold,Budi Supervisor,Record passed primary checks and no high-risk anomaly was detected.,Sinta QA
LOG-0182,2026-04-01 17:40:00,RM-0059,B-11-005,On Hold,On Hold,Sinta QA,Record passed primary checks and no high-risk anomaly was detected.,
LOG-0176,2026-04-01 18:14:00,PK-3664,B-52-002,Ready,Need Review,Sinta QA,The record is incomplete and cannot be safely approved without filling the missing fields.,Budi Supervisor
LOG-0078,2026-04-01 19:00:00,PK-6313,B-71-002,Ready,Need Review,Sinta QA,The item appears in a location that is not aligned with its category or current status.,Budi Supervisor
LOG-0095,2026-04-01 20:52:00,RM-4657,B-71-006,On Hold,Need Review,Maya Supervisor,The record is incomplete and cannot be safely approved without filling the missing fields.,
LOG-0024,2026-04-01 21:13:00,RM-8527,B-10-001,Need Review,Reject,Maya Supervisor,Record passed primary checks and no high-risk anomaly was detected.,Sinta QA
LOG-0197,2026-04-01 23:23:00,FG-9830,B-50-002,Reject,On Hold,Sinta QA,Record passed primary checks and no high-risk anomaly was detected.,Budi Supervisor
LOG-0002,2026-04-01 23:38:00,PK-3677,B-24-003,Need Review,Ready,System AI,Record passed primary checks and no high-risk anomaly was detected.,Maya Supervisor
LOG-0119,2026-04-02 00:09:00,RM-7912,B-70-005,Need Review,Reject,System AI,Record passed primary checks and no high-risk anomaly was detected.,Sinta QA
LOG-0201,2026-04-02 01:08:00,FG-3621,B-62-002,Reject,On Hold,Maya Supervisor,The submitted quantity deviates from expected patterns and should be verified by the operator.,
LOG-0212,2026-04-02 01:54:00,RM-8527,B-31-003,Reject,On Hold,Maya Supervisor,Record passed primary checks and no high-risk anomaly was detected.,Maya Supervisor
LOG-0001,2026-04-02 04:39:00,SP-8433,B-51-001,Reject,On Hold,Sinta QA,Record passed primary checks and no high-risk anomaly was detected.,
LOG-0168,2026-04-02 04:42:00,RM-4527,B-01-004,Ready,On Hold,System AI,Manual status conflicts with the quality note. The item should not remain Ready while inspection is still pending.,Maya Supervisor
LOG-0051,2026-04-02 10:02:00,SP-1188,B-32-002,Reject,Need Review,Maya Supervisor,This record is likely a duplicate of a recent inbound update and should be reviewed before approval.,
LOG-0160,2026-04-02 10:34:00,SP-2827,B-41-006,Need Review,Ready,Aldi Pratama,Record passed primary checks and no high-risk anomaly was detected.,
LOG-0134,2026-04-02 11:38:00,RM-7912,B-28-004,Ready,On Hold,Maya Supervisor,Record passed primary checks and no high-risk anomaly was detected.,Budi Supervisor
LOG-0110,2026-04-02 11:47:00,PK-3677,B-36-004,Need Review,Need Review,Sinta QA,The item appears in a location that is not aligned with its category or current status.,
LOG-0069,2026-04-02 14:29:00,RM-6925,B-70-002,On Hold,Reject,Aldi Pratama,Record passed primary checks and no high-risk anomaly was detected.,Sinta QA
LOG-0006,2026-04-02 14:30:00,PK-2169,B-69-005,Reject,Need Review,System AI,The record is incomplete and cannot be safely approved without filling the missing fields.,Maya Supervisor
LOG-0084,2026-04-02 15:12:00,PK-7227,B-07-006,Need Review,Need Review,Sinta QA,Record passed primary checks and no high-risk anomaly was detected.,
LOG-0108,2026-04-02 19:41:00,PK-3664,B-52-002,Reject,Need Review,Sinta QA,The record is incomplete and cannot be safely approved without filling the missing fields.,Sinta QA
LOG-0052,2026-04-02 19:50:00,PK-7572,B-84-001,Need Review,Need Review,Budi Supervisor,This record is likely a duplicate of a recent inbound update and should be reviewed before approval.,
LOG-0055,2026-04-02 21:02:00,PK-4483,B-22-003,Reject,Reject,Sinta QA,Record passed primary checks and no high-risk anomaly was detected.,Maya Supervisor
LOG-0076,2026-04-02 21:10:00,FG-3621,B-62-002,On Hold,Reject,Maya Supervisor,Record passed primary checks and no high-risk anomaly was detected.,Maya Supervisor
LOG-0038,2026-04-02 23:48:00,FG-2489,B-96-001,Unreleased,On Hold,System AI,Record passed primary checks and no high-risk anomaly was detected.,
LOG-0035,2026-04-03 04:20:00,SP-9797,B-73-007,Reject,On Hold,System AI,Record passed primary checks and no high-risk anomaly was detected.,
LOG-0141,2026-04-03 04:32:00,FG-8019,B-20-004,On Hold,Ready,Maya Supervisor,Record passed primary checks and no high-risk anomaly was detected.,Sinta QA
LOG-0074,2026-04-03 05:49:00,PK-7572,B-84-001,Ready,Ready,Sinta QA,Record passed primary checks and no high-risk anomaly was detected.,
LOG-0033,2026-04-03 06:19:00,FG-7811,B-47-007,Reject,On Hold,Maya Supervisor,This record is likely a duplicate of a recent inbound update and should be reviewed before approval.,Budi Supervisor
LOG-0162,2026-04-03 07:45:00,RM-1842,B-81-001,Reject,Need Review,Maya Supervisor,Record passed primary checks and no high-risk anomaly was detected.,Budi Supervisor
LOG-0163,2026-04-03 08:07:00,FG-7811,B-01-001,On Hold,On Hold,Budi Supervisor,The item appears in a location that is not aligned with its category or current status.,Sinta QA
LOG-0194,2026-04-03 09:15:00,RM-2824,B-94-001,Need Review,Reject,System AI,Record passed primary checks and no high-risk anomaly was detected.,
